10000
13261	47	7
27117	47th	1
6124	48	7
11624	480	1
6913	49	2
25664	4chan	1
28100	4kids	1
13707	4th	2
9597	50	26
2188	500	21
21008	501	1
13929	501st	2
14158	50s	4
27766	50th	1
7618	51	6
28156	517th	1
22592	52	3
15799	53	1
16224	533	1
26161	54	2
13974	55	2
24839	59	3
7619	60	5
18675	600	4
9019	605	1
16749	60s	7
19748	61	1
13910	63	2
5696	643	1
9445	65	2
25881	65k	1
27496	65th	1
7228	66	4
24304	69	1
11508	6m	1
15123	6th	2
4961	70	8
7732	700	2
22943	701	1
18094	705	1
26250	707	1
12754	70s	6
27800	70th	1
10819	72	3
11596	72nd	1
27564	731	1
24578	747	1
9221	74th	1
11802	75	1
27006	750	1
20382	7500	1
9222	75th	1
26630	76	1
23299	77	1
5053	78	2
21894	79	1
8708	7th	4
10405	80	5
17264	800	2
5319	80s	5
25873	81	1
20615	813	1
25090	82	1
17053	83	2
4080	84	1
24671	857	1
7741	85th	1
14121	86	2
26743	88	1
8560	90	8
23868	900	1
21963	90000	1
19523	900lb	1
14486	90s	4
12744	90th	2
8084	911	2
26147	92nd	1
20999	93	1
22631	9364	1
26909	94	1
5062	95	3
24204	96	1
13053	98	3
16706	99	3
21200	9th	2
20010	aames	1
5154	aang	1
8667	aaron	11
8368	aarons	1
25627	aba	1
24638	aback	2
25053	abad	1
25686	abaddon	1
13440	abagnale	1
21478	abaire	1
6300	abandon	10
817	abandoned	77
7910	abandoning	2
20901	abandonment	2
987	abandons	6
21858	abbasid	1
21629	abbe	1
15453	abberline	1
4398	abbey	2
20932	abbie	1
14243	abbot	2
2432	abbott	4
10207	abby	6
17903	abdicates	1
22442	abdication	1
1646	abdomens	1
18003	abdominal	1
6736	abduct	6
8036	abducted	32
2199	abducting	1
4865	abduction	5
6567	abductions	5
18405	abductors	2
4866	abducts	4
18691	abdul	2
11167	abe	2
14541	abel	2
27105	abelito	1
9564	abernathy	1
8073	abhors	1
25300	abi	1
12892	abide	1
23791	abiding	1
6568	abigail	6
2550	abilities	32
3879	ability	47
116	able	94
28141	ableman	1
19315	abnormal	2
7397	abnormalities	1
10179	abnormals	1
20798	abo	1
933	aboard	24
20488	abode	2
23314	abolish	1
15665	abolitionist	1
14789	abominable	1
20914	abomination	1
13314	aboriginal	2
27281	aborigines	1
22944	abort	3
25189	aborted	1
16880	abortion	1
28063	abortionist	1
20865	abortions	1
20680	abound	2
7196	abra	1
7986	abraham	6
26111	abrahams	1
23809	abrams	1
20330	abrasive	1
23051	abridged	1
24089	abril	1
3489	abroad	12
10174	abrupt	5
5941	abruptly	2
18674	absconded	1
2917	abseil	1
2724	absence	10
11545	absent	8
16181	abshire	1
27042	absolom	1
18598	absolute	5
10361	absolutely	4
8820	absolution	1
19994	absorb	4
9330	absorbed	4
23541	absorbing	1
5752	absorbs	2
23238	absorption	1
17578	abstemious	1
28089	abstinence	1
1106	absurd	10
21782	absurdity	1
14915	absurdly	1
12587	abu	1
11731	abundant	1
4007	abuse	28
8540	abused	13
17517	abuser	2
16857	abusers	2
4343	abuses	4
15459	abusing	4
5760	abusive	22
12277	abusiveness	1
25018	abuzz	1
19450	abyss	4
11899	aca	1
495	academia	4
12307	academic	14
25665	academics	1
22350	academies	1
496	academy	45
15272	acapulco	1
11052	accedes	1
19875	accelerate	1
2999	accelerated	1
19384	accent	1
3490	accept	26
20784	acceptable	1
1166	acceptance	8
5362	accepted	10
3722	accepting	3
2870	accepts	29
8289	access	28
17993	accessories	2
26593	accessory	1
1030	accident	141
3359	accidental	17
531	accidentally	130
8623	accidently	3
9229	accidents	10
13655	acclaimed	13
10615	acclimated	1
20143	accolades	1
8919	accommodate	1
8920	accommodated	1
11684	accommodating	1
26546	accommodation	1
12996	accommodations	1
4900	accompanied	21
10246	accompanies	7
16424	accompany	8
14365	accompanying	5
5013	accomplice	4
7609	accomplices	4
8049	accomplish	11
2519	accomplished	11
20454	accomplishing	1
8002	accomplishment	1
1379	according	9
28217	accordion	1
14175	accosted	1
5226	account	24
28304	accountable	1
4004	accountant	12
7276	accounting	2
6712	accounts	6
19528	accumulate	1
6064	accuracy	1
22039	accurate	2
2592	accursed	1
26929	accusations	1
17280	accuse	1
5028	accused	40
8663	accuser	1
8564	accuses	8
24145	accustomed	2
13269	ace	16
12602	aceptará	1
27092	acerbic	2
9469	acerola	3
18108	acha	1
13572	acheman	1
2342	achieve	23
9026	achieved	4
15070	achievements	3
17646	achievers	1
15488	achieves	3
7861	achieving	5
9598	achilles	1
27357	achim	1
15264	aching	2
25507	acid	2
13162	acknowledge	1
17332	acknowledges	1
14825	acme	2
21233	acolytes	1
7183	acorn	2
26657	acorns	2
26039	acoustic	1
23008	acoustics	1
21620	acquaintance	5
4154	acquaintances	6
18421	acquainted	4
18127	acquire	3
10247	acquires	4
1562	acquiring	2
26594	acquisition	1
17025	acquitted	4
16719	acre	5
17506	acres	1
12025	acrobat	2
27503	acrobatics	1
21783	acronym	1
454	across	187
2688	act	62
3169	acting	9
1124	action	152
1945	actions	29
12120	activate	1
2982	activates	2
1752	active	10
24558	actively	2
26828	activism	1
8655	activist	13
12542	activists	3
2983	activities	18
3344	activity	12
6467	actor	36
6538	actors	22
9097	actress	37
19291	actresses	3
5621	acts	16
5657	actual	18
2963	actually	65
15920	acuden	1
22054	acute	1
5120	ad	12
22018	ada	2
13912	adachi	1
14715	adagio	1
15713	adaline	1
532	adam	23
22682	adamant	1
24411	adamantly	1
7708	adams	7
16659	adamsky	1
18081	adamson	1
4008	adapt	12
6578	adaptation	32
19374	adaptations	1
6057	adapted	13
18381	adapting	4
15454	adaption	2
22254	adapts	2
7101	add	11
2158	addams	4
11279	added	5
25072	adderall	2
713	addict	13
6278	addicted	7
7957	addiction	11
23873	addictions	1
8201	addictive	1
6771	addicts	4
20286	adding	3
14276	addison	2
9393	addition	13
15114	additional	5
7249	additionally	1
9382	addled	3
16615	address	4
12832	addresses	2
27161	addressing	1
5048	adds	7
9349	adelaide	3
15855	adele	2
17014	adeline	1
23885	adelino	1
21130	adept	4
22064	adeptly	1
21791	adequate	1
17919	adherence	1
17410	adhering	1
28073	adirondack	1
26697	aditya	1
27230	adjective	1
3309	adjust	10
11359	adjusted	2
5611	adjuster	1
14983	adjusting	2
15656	adjustment	2
15901	adkins	2
23706	adler	1
27049	adm	1
15821	administered	3
14177	administering	1
16987	administration	5
23810	administrator	1
17566	administrators	1
7027	admiral	5
19316	admiration	2
7277	admired	6
7421	admirer	4
16185	admirers	1
23911	admires	1
6501	admiring	1
27624	admissions	2
17133	admit	4
14570	admits	4
17017	admittance	1
10161	admitted	5
13189	admonition	1
23695	ado	1
6265	adolescence	8
11197	adolescent	10
9072	adolescents	1
4882	adolf	9
3936	adonis	2
5458	adopt	10
6015	adopted	24
14159	adopting	1
8959	adoption	5
149	adoptive	6
3000	adopts	10
2027	adorable	19
17987	adorably	1
12382	adoration	4
11012	adored	3
22613	adores	1
14631	adoring	3
10942	adorn	1
8582	adrenaline	8
11754	adrenalized	1
14420	adri	1
3963	adrian	5
13701	adriana	1
13750	adriatic	1
2165	adrien	1
24036	adrienne	1
6114	adrift	7
13086	adrián	1
10488	adulation	1
5073	adult	41
15133	adulterous	5
24992	adultery	2
10054	adulthood	8
1083	adults	27
10260	advance	7
3265	advanced	17
3186	advancement	2
8156	advances	11
11625	advancing	3
7225	advantage	16
345	adventure	222
3020	adventurer	10
6307	adventurers	8
2159	adventures	81
4283	adventuring	1
4977	adventurous	10
8151	adversaries	8
40	adversary	6
17426	adverse	1
13277	adversities	2
16075	adversity	1
17238	advertisement	2
23608	advertisements	1
9883	advertising	12
3403	advice	26
5547	advise	3
10820	advised	6
19747	adviser	3
12951	advisers	3
7620	advising	1
6410	advisor	6
15896	advocacy	1
6468	advocate	4
28090	advocates	1
17553	adèle	1
28057	ae	1
16118	ae86	3
23047	aegis	1
18245	aer	1
4822	aerial	4
23890	aeronautics	1
24539	aeroplane	1
26535	aerosmith	1
18423	afar	3
16225	affable	1
2837	affair	91
18645	affaire	1
11307	affairs	19
5697	affect	3
3751	affected	6
8044	affecting	5
5942	affection	12
24841	affectionate	3
3222	affectionately	3
2410	affections	13
1167	affects	5
19900	affiliation	1
18873	affinity	1
15547	affirming	2
19101	afflicted	3
24784	afflicting	1
24257	affliction	1
17871	afflicts	1
21452	affluence	1
11833	affluent	3
